,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
82,F2021,Reject,299.0,76.47500000000001,23.0,,8.0
83,F2021,Reject,319.0,70.775,29.0,102.0,
84,F2021,Reject,310.0,74.48,1.0,,7.0
85,F2021,Reject,315.0,72.675,37.0,99.0,
86,F2021,Reject,317.0,75.24,20.0,110.0,
87,F2021,Reject,303.0,76.0,3.0,97.0,
88,F2021,Reject,306.0,66.0,26.0,110.0,
89,F2021,Reject,303.0,74.195,4.0,95.0,
90,F2021,Reject,324.0,76.19,18.0,108.0,
91,F2021,Reject,321.0,82.365,6.0,92.0,
92,F2021,Reject,321.0,76.665,17.0,0.0,
93,F2021,Reject,320.0,61.084999999999994,2.0,112.0,
94,F2021,Reject,330.0,70.49,74.0,,8.5
95,F2021,Reject,314.0,64.125,18.0,96.0,
96,F2021,Reject,321.0,70.68,33.0,103.0,
97,F2021,Reject,322.0,79.99,12.0,,7.5
98,F2021,Reject,318.0,82.46,24.0,,6.5
99,F2021,Reject,,,,,
100,F2021,Reject,306.0,77.52,2.0,105.0,
101,F2021,Reject,318.0,70.0,15.0,,7.0
102,F2021,Reject,319.0,75.05,12.0,111.0,
103,F2020,Reject,324.0,78.0,39.0,107.0,
104,F2021,Reject,308.0,80.085,18.0,102.0,
105,F2021,Reject,303.0,65.6,40.0,101.0,
106,F2021,Reject,314.0,88.825,7.0,107.0,
107,F2021,Reject,321.0,83.03,27.0,112.0,
108,F2021,Reject,322.0,79.8,,103.0,
109,F2021,Reject,325.0,,,,
110,F2021,Reject,300.0,87.21,4.0,97.0,
111,F2021,Reject,314.0,80.56,,112.0,
112,F2021,Reject,307.0,87.39999999999999,4.0,,7.5
113,F2021,Reject,,71.63,31.0,101.0,
114,F2021,Reject,311.0,73.625,29.0,108.0,
115,F2021,Reject,314.0,72.39,28.0,105.0,
116,F2021,Reject,,92.91,12.0,,7.5
117,F2021,Reject,324.0,78.755,15.0,113.0,
118,F2021,Reject,320.0,79.70500000000001,22.0,104.0,
119,F2021,Reject,325.0,70.11,39.0,107.0,
120,F2021,Reject,310.0,87.59,9.0,103.0,
121,F2021,Reject,323.0,79.8,13.0,110.0,
122,F2021,Reject,335.0,68.4,30.0,108.0,
123,F2021,Reject,306.0,67.45,,91.0,
124,F2021,Reject,,61.0,48.0,,7.5
125,F2021,Reject,322.0,81.605,,102.0,
126,F2021,Reject,331.0,80.94,4.0,,7.0
127,F2021,Reject,310.0,73.0,,103.0,
128,F2020,Reject,322.0,63.839999999999996,,114.0,
129,F2021,Reject,322.0,93.29,2.0,,7.5
130,F2021,Reject,308.0,66.0,41.0,109.0,
131,F2021,Reject,,64.315,45.0,112.0,
132,F2021,Reject,318.0,63.65,17.0,107.0,
133,F2021,Reject,322.0,78.755,,,8.0
134,F2021,Reject,,85.595,14.0,,6.5
135,F2021,Reject,300.0,72.2,6.0,,7.0
136,F2021,Reject,311.0,73.72,12.0,102.0,
137,F2021,Reject,307.0,79.61000000000001,14.0,97.0,
138,S2022,Reject,,76.29,30.0,108.0,
139,F2021,Reject,306.0,80.465,,107.0,
140,F2021,Reject,325.0,77.04499999999999,,112.0,
141,F2021,Reject,292.0,67.83,20.0,95.0,
142,F2021,Reject,299.0,81.79499999999999,1.0,,7.5
143,F2021,Reject,313.0,67.165,40.0,101.0,
144,F2021,Reject,314.0,77.23500000000001,12.0,100.0,
145,F2021,Reject,314.0,68.4,46.0,102.0,
146,F2021,Reject,309.0,78.66,4.0,,7.5
147,F2021,Reject,320.0,87.39999999999999,3.0,109.0,
148,F2021,Reject,323.0,79.8,2.0,113.0,
149,F2021,Reject,320.0,74.0,54.0,106.0,
150,F2021,Reject,305.0,66.0,48.0,,7.5
151,F2021,Reject,314.0,79.04,24.0,101.0,
152,F2021,Reject,321.0,82.365,17.0,106.0,
153,F2021,Reject,313.0,82.08000000000001,5.0,101.0,
154,F2021,Reject,,70.68,108.0,,7.5
155,F2021,Reject,316.0,79.41999999999999,19.0,104.0,
156,F2021,Reject,324.0,76.95,6.0,104.0,
157,F2021,Reject,322.0,78.185,31.0,,7.5
158,F2021,Reject,310.0,85.5,2.0,101.0,
159,F2021,Reject,318.0,71.06,22.0,110.0,
160,F2021,Reject,319.0,82.55499999999999,30.0,,7.5
161,F2021,Reject,312.0,77.71,6.0,107.0,
162,F2021,Reject,323.0,85.69,10.0,106.0,
163,F2021,Reject,318.0,73.625,20.0,,7.5
164,F2021,Reject,315.0,63.365,30.0,91.0,
165,F2021,Reject,303.0,83.315,,,7.0
166,F2021,Reject,312.0,75.9,,106.0,
167,F2021,Reject,312.0,84.74,18.0,99.0,
168,F2021,Reject,319.0,76.95,56.0,100.0,
169,F2019,Reject,318.0,77.52,22.0,101.0,
170,F2021,Reject,330.0,79.8,9.0,92.0,
171,F2020,Reject,309.0,72.0,41.0,,7.5
172,F2021,Reject,316.0,,,,
173,F2021,Reject,307.0,85.88,6.0,,7.5
174,F2021,Reject,308.0,89.55,15.0,98.0,
175,F2021,Reject,308.0,75.0,68.0,108.0,
176,F2021,Reject,313.0,76.95,,,7.5
177,F2021,Reject,305.0,86.26,36.0,98.0,
178,F2021,Reject,323.0,71.25,30.0,110.0,
179,F2019,Reject,320.0,85.02499999999999,19.0,110.0,
180,F2021,Reject,332.0,89.3,13.0,117.0,
181,F2021,Reject,318.0,68.685,55.0,106.0,
182,F2021,Reject,312.0,64.22,33.0,,6.5
183,F2021,Reject,309.0,73.435,28.0,104.0,
184,F2021,Reject,300.0,69.35,24.0,,6.5
185,F2021,Reject,312.0,87.875,29.0,106.0,
186,F2020,Reject,318.0,76.95,14.0,106.0,
187,F2021,Reject,327.0,75.05,13.0,,7.0
188,F2021,Reject,307.0,77.71,17.0,,7.5
189,F2021,Reject,307.0,74.005,26.0,104.0,
190,F2021,Reject,310.0,69.16,4.0,104.0,
191,F2021,Reject,295.0,87.39999999999999,,,7.0
192,F2021,Reject,320.0,66.595,61.0,100.0,
193,F2021,Reject,325.0,71.345,20.0,108.0,
194,F2021,Reject,327.0,74.195,24.0,108.0,
195,F2021,Reject,321.0,78.185,40.0,108.0,
196,F2021,Reject,310.0,78.85000000000001,,97.0,
197,F2021,Reject,312.0,84.55,31.0,109.0,
198,F2021,Reject,304.0,73.15,1.0,99.0,
199,F2021,Reject,319.0,72.105,14.0,113.0,
200,F2021,Reject,321.0,67.26,24.0,110.0,
